epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.642,1.28755,2.64779,1.50648,0.01606,0.69451,0.2967,0.21025,0.91242,2.9889,1.18845,0.000462324,0.000462324,0.000462324
2,310.616,1.09564,1.86395,1.3434,0.55553,0.36221,0.46197,0.32696,0.9142,2.01567,1.20586,0.000752803,0.000752803,0.000752803
3,461.369,1.06501,1.68889,1.33308,0.44959,0.43236,0.42648,0.29818,0.91419,1.87045,1.20231,0.000854654,0.000854654,0.000854654
4,615.849,1.00561,1.55324,1.28747,0.63974,0.51268,0.57774,0.42123,0.84381,1.50921,1.15956,0.000580174,0.000580174,0.000580174
5,758.58,0.9685,1.4971,1.2506,0.66878,0.5642,0.64469,0.48381,0.76471,1.42458,1.09944,0.000297232,0.000297232,0.000297232
