epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.546,1.29426,2.6741,1.51789,0.15618,0.58242,0.2979,0.21445,0.89823,2.94572,1.20138,0.000462324,0.000462324,0.000462324
2,300.163,1.09412,1.86958,1.35097,0.56603,0.35937,0.44649,0.30488,0.92615,2.21982,1.20481,0.000752803,0.000752803,0.000752803
3,448.697,1.05094,1.68575,1.31723,0.41529,0.48951,0.44702,0.29443,0.95304,1.99056,1.20909,0.000854654,0.000854654,0.000854654
4,590.486,1.01762,1.56995,1.28628,0.61487,0.52715,0.6091,0.44887,0.84247,1.60574,1.14555,0.000580174,0.000580174,0.000580174
5,737.949,0.96887,1.51249,1.25332,0.64878,0.57645,0.64983,0.49441,0.76666,1.35837,1.09128,0.000297232,0.000297232,0.000297232
