epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.109,1.41578,3.18015,1.55387,0.00801,0.73473,0.22215,0.16078,0.89542,3.31097,1.17749,0.00022864,0.00022864,0.00022864
2,259.15,1.07082,2.11446,1.31191,0.95832,0.06861,0.42036,0.26856,0.93762,3.0763,1.23095,0.000448227,0.000448227,0.000448227
3,380.887,1.04323,1.84083,1.28758,0.70988,0.33755,0.37483,0.22698,1.01108,2.8077,1.24382,0.000643764,0.000643764,0.000643764
4,499.674,1.04227,1.67092,1.27699,0.65819,0.41674,0.54127,0.32366,1.05452,2.46952,1.26708,0.000815252,0.000815252,0.000815252
5,626.095,1.04188,1.56018,1.27259,0.53112,0.40073,0.43439,0.28638,1.00916,2.39266,1.32146,0.000962689,0.000962689,0.000962689
6,750.288,1.05232,1.55633,1.27204,0.50103,0.4919,0.52537,0.34281,0.95619,2.17908,1.30185,0.00107532,0.00107532,0.00107532
7,895.124,1.06419,1.51785,1.28236,0.63963,0.38951,0.41228,0.26146,1.08492,2.59911,1.41807,0.00100459,0.00100459,0.00100459
8,1031.63,1.00459,1.43343,1.24575,0.67505,0.54377,0.60428,0.41699,1.02824,1.73939,1.2868,0.000933851,0.000933851,0.000933851
9,1169.15,0.97866,1.31053,1.23305,0.66658,0.56439,0.62492,0.44894,0.89146,1.59187,1.20862,0.000863116,0.000863116,0.000863116
10,1307.95,0.95806,1.24006,1.22692,0.74408,0.57202,0.65229,0.46701,0.93867,1.43829,1.25595,0.00079238,0.00079238,0.00079238
11,1442.19,0.86568,1.40213,1.16934,0.66705,0.64565,0.67331,0.46769,0.91149,1.50956,1.21554,0.000721645,0.000721645,0.000721645
12,1585.14,0.83003,1.27894,1.1611,0.67359,0.56983,0.60177,0.41338,0.87609,1.73606,1.17951,0.000650909,0.000650909,0.000650909
13,1727.27,0.78697,1.19187,1.10314,0.70674,0.60408,0.69012,0.46482,0.94673,1.39729,1.21733,0.000580174,0.000580174,0.000580174
14,1848.25,0.78774,1.12333,1.10026,0.76219,0.59501,0.70969,0.5056,0.87975,1.26592,1.17465,0.000509438,0.000509438,0.000509438
15,1980.6,0.73993,1.05731,1.08654,0.82829,0.6528,0.7506,0.56661,0.80237,1.10938,1.1099,0.000438703,0.000438703,0.000438703
16,2119.66,0.73029,1.02051,1.07006,0.73127,0.67394,0.74173,0.55581,0.81112,1.07211,1.13583,0.000367967,0.000367967,0.000367967
17,2258.63,0.71853,0.94906,1.0573,0.81546,0.66062,0.76513,0.57264,0.79478,1.0519,1.15779,0.000297232,0.000297232,0.000297232
18,2397.74,0.69598,0.88106,1.04993,0.77523,0.68023,0.7511,0.57371,0.79818,1.06673,1.16359,0.000226497,0.000226497,0.000226497
19,2537.27,0.66465,0.86137,1.02927,0.81727,0.64575,0.76182,0.57464,0.78467,1.02926,1.11077,0.000155761,0.000155761,0.000155761
20,2654.47,0.6553,0.83508,1.02232,0.79516,0.69064,0.761,0.57749,0.74415,1.00729,1.08085,8.50255e-05,8.50255e-05,8.50255e-05
