epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.984,1.29935,2.64373,1.50938,0.01504,0.73025,0.27841,0.19299,0.89638,2.9345,1.16434,0.000462324,0.000462324,0.000462324
2,615.923,1.09841,1.89485,1.3508,0.51048,0.36122,0.42668,0.27908,0.94493,2.07221,1.23728,0.000752803,0.000752803,0.000752803
3,915.116,1.04901,1.67076,1.31296,0.58779,0.41303,0.4599,0.32833,0.94126,2.02216,1.24658,0.000854654,0.000854654,0.000854654
4,1161.38,1.02674,1.60595,1.29355,0.53975,0.51704,0.50803,0.36292,0.86334,1.95876,1.15193,0.000580174,0.000580174,0.000580174
5,1359.39,0.97244,1.53391,1.26506,0.73683,0.5255,0.64073,0.47686,0.79569,1.39434,1.11551,0.000297232,0.000297232,0.000297232
