epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.318,1.29608,2.66914,1.51913,0.01578,0.64684,0.25922,0.17631,0.91793,3.09086,1.18824,0.000462324,0.000462324,0.000462324
2,326.079,1.09563,1.86364,1.35588,0.526,0.38728,0.45427,0.3002,0.94301,2.06869,1.21694,0.000822498,0.000822498,0.000822498
3,469.173,1.08168,1.70942,1.35253,0.4412,0.42785,0.38261,0.24331,0.96547,2.25211,1.29215,0.00106478,0.00106478,0.00106478
4,615.635,1.04734,1.60426,1.32277,0.64967,0.38444,0.50712,0.36518,0.86884,1.81908,1.17895,0.000898484,0.000898484,0.000898484
5,763.917,1.00739,1.54464,1.28354,0.66967,0.52824,0.62999,0.45873,0.83092,1.46032,1.14293,0.000721645,0.000721645,0.000721645
6,905.982,0.98756,1.50643,1.28417,0.60045,0.51417,0.59946,0.44018,0.76761,1.46051,1.10173,0.000544806,0.000544806,0.000544806
7,1045.75,0.93951,1.43701,1.23432,0.69427,0.55274,0.66323,0.50446,0.73545,1.32172,1.06657,0.000367967,0.000367967,0.000367967
8,1189.12,0.93101,1.38949,1.24665,0.76351,0.54524,0.66447,0.51022,0.712,1.25884,1.07165,0.000191129,0.000191129,0.000191129
