epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.303,1.29608,2.66914,1.51913,0.01578,0.64684,0.25922,0.17631,0.91793,3.09086,1.18824,0.000462324,0.000462324,0.000462324
2,303.198,1.09191,1.86004,1.34746,0.54271,0.42497,0.46015,0.29419,0.99671,2.12701,1.23851,0.000752803,0.000752803,0.000752803
3,453.123,1.05787,1.68426,1.33096,0.45733,0.48372,0.45089,0.30776,0.90869,1.99623,1.18662,0.000854654,0.000854654,0.000854654
4,595.541,1.01252,1.56567,1.29283,0.68129,0.5708,0.64836,0.48109,0.79541,1.42603,1.09587,0.000580174,0.000580174,0.000580174
5,736.14,0.95949,1.49697,1.24125,0.66536,0.5646,0.66037,0.49497,0.77793,1.37453,1.1015,0.000297232,0.000297232,0.000297232
