epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.969,1.30204,2.65825,1.51864,0.01475,0.70201,0.26712,0.18167,0.87115,3.03371,1.15487,0.000462324,0.000462324,0.000462324
2,324.985,1.08121,1.91604,1.33684,0.50539,0.38227,0.43595,0.29029,0.9791,2.10772,1.24509,0.000752803,0.000752803,0.000752803
3,466.7,1.03451,1.70173,1.30762,0.57203,0.48503,0.51879,0.35346,0.95189,1.82162,1.21426,0.000854654,0.000854654,0.000854654
4,613.693,1.00978,1.61821,1.29144,0.55603,0.51958,0.55404,0.41504,0.78894,1.67704,1.10762,0.000580174,0.000580174,0.000580174
5,760.915,0.95886,1.55425,1.2611,0.69941,0.53886,0.64837,0.48966,0.75321,1.36138,1.09221,0.000297232,0.000297232,0.000297232
