epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.913,1.26433,2.87097,1.48213,0.34195,0.47062,0.345,0.24701,0.87957,3.16901,1.10395,0.000462324,0.000462324,0.000462324
2,267.088,1.10418,2.17525,1.33908,0.65715,0.38706,0.44736,0.29251,1.21396,2.7441,1.3745,0.000752803,0.000752803,0.000752803
3,396.016,1.05465,1.89923,1.33398,0.53457,0.55236,0.50845,0.33535,1.13403,2.32037,1.31386,0.000854654,0.000854654,0.000854654
4,535.28,1.00053,1.71392,1.28707,0.68761,0.49018,0.55474,0.37477,1.12223,2.01644,1.31567,0.000580174,0.000580174,0.000580174
5,672.534,0.97088,1.61308,1.25949,0.72488,0.59868,0.6726,0.47126,1.05053,1.73578,1.23196,0.000297232,0.000297232,0.000297232
