epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.886,1.28767,2.66622,1.49509,0.39859,0.31795,0.26149,0.18199,0.864,3.09603,1.15468,0.000462324,0.000462324,0.000462324
2,296.917,1.06141,1.93274,1.30822,0.53037,0.43599,0.43799,0.29767,0.94979,2.3192,1.26237,0.000752803,0.000752803,0.000752803
3,454.754,1.04941,1.75849,1.29145,0.53422,0.51967,0.50097,0.33192,1.00581,2.11598,1.28101,0.000854654,0.000854654,0.000854654
4,611.211,0.99782,1.59266,1.26056,0.54042,0.60153,0.59207,0.43947,0.8719,1.82704,1.21172,0.000580174,0.000580174,0.000580174
5,760.136,0.96028,1.53779,1.2551,0.69633,0.61985,0.68739,0.51721,0.83718,1.67554,1.18213,0.000297232,0.000297232,0.000297232
